KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath
317,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1892,July,261a,N.Y.Photogravure Co.,Photogravure,specimens_resized/317_S.JPG,specimens_resized_panel/317_S.JPG
318,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1892,September,333a,None,Albumen silver print,specimens_resized/318_S.JPG,specimens_resized_panel/318_S.JPG
319,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1893,February,47a,None,Collodion or Gelatin POP,specimens_resized/319_S.JPG,specimens_resized_panel/319_S.JPG
320,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1893,April,147a,None,Collodion POP,specimens_resized/320_S.JPG,specimens_resized_panel/320_S.JPG
321,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1893,June,239a,None,Collodion POP,specimens_resized/321_S.JPG,specimens_resized_panel/321_S.JPG
322,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1893,July,291a,Chicago Photo-gravure Co.,Photogravure,specimens_resized/322_S.JPG,specimens_resized_panel/322_S.JPG
323,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1893,August,329a,L.F. Hawkins Jr.,Gelatin POP,specimens_resized/323_S.JPG,specimens_resized_panel/323_S.JPG
324,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1893,September,377a,None,Collodion POP,specimens_resized/324_S.JPG,specimens_resized_panel/324_S.JPG
325,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1893,December,backmatter,None,Gelatin POP,specimens_resized/325_S.JPG,specimens_resized_panel/325_S.JPG
326,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,March,29a,None,Albumen silver print,specimens_resized/326_S.JPG,specimens_resized_panel/326_S.JPG
327,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,April,61a,None,Collodion POP,specimens_resized/327_S.JPG,specimens_resized_panel/327_S.JPG
328,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,May,93a,None,Collodion POP,specimens_resized/328_S.JPG,specimens_resized_panel/328_S.JPG
329,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,June,129a,None,Collodion POP,specimens_resized/329_S.JPG,specimens_resized_panel/329_S.JPG
330,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,July,159a,None,Collodion POP,specimens_resized/330_S.JPG,specimens_resized_panel/330_S.JPG
331,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,August,191a,None,Collodion POP,specimens_resized/331_S.JPG,specimens_resized_panel/331_S.JPG
332,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,October,277a,None,Collodion POP,specimens_resized/332_S.JPG,specimens_resized_panel/332_S.JPG
333,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,November,319a,None,Collodion POP,specimens_resized/333_S.JPG,specimens_resized_panel/333_S.JPG
334,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1893,December,359a,None,Collodion POP,specimens_resized/334_S.JPG,specimens_resized_panel/334_S.JPG
335,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1894,August,347a,None,Collodion POP,specimens_resized/335_S.JPG,specimens_resized_panel/335_S.JPG
336,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1894,October,453a,None,Gelatin POP,specimens_resized/336_S.JPG,specimens_resized_panel/336_S.JPG
337,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1894,November,501a,S.L. Stein,Collodion POP,specimens_resized/337_S.JPG,specimens_resized_panel/337_S.JPG
338,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,January,1a,None,Collodion POP,specimens_resized/338_S.JPG,specimens_resized_panel/338_S.JPG
339,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,February,37a,None,Collodion POP,specimens_resized/339_S.JPG,specimens_resized_panel/339_S.JPG
340,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,March,75a,None,Collodion POP,specimens_resized/340_S.JPG,specimens_resized_panel/340_S.JPG
341,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,April,115a,None,Collodion POP,specimens_resized/341_S.JPG,specimens_resized_panel/341_S.JPG
342,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,May ,155a,None,Collodion POP,specimens_resized/342_S.JPG,specimens_resized_panel/342_S.JPG
343,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,June,195a,None,Collodion POP,specimens_resized/343_S.JPG,specimens_resized_panel/343_S.JPG
344,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,August,275a,None,Collodion POP,specimens_resized/344_S.JPG,specimens_resized_panel/344_S.JPG
345,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,September,315a,None,Collodion POP,specimens_resized/345_S.JPG,specimens_resized_panel/345_S.JPG
346,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1894,October,355a,None,Collodion POP,specimens_resized/346_S.JPG,specimens_resized_panel/346_S.JPG
347,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,January,1a,None,Collodion POP,specimens_resized/347_S.JPG,specimens_resized_panel/347_S.JPG
348,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,March,53a,None,Collodion POP,specimens_resized/348_S.JPG,specimens_resized_panel/348_S.JPG
349,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,May or June ,frontmatter,None,Collodion POP,specimens_resized/349_S.JPG,specimens_resized_panel/349_S.JPG
350,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,July,165a,None,Collodion POP,specimens_resized/350_S.JPG,specimens_resized_panel/350_S.JPG
351,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,August,193a,None,Gelatin POP,specimens_resized/351_S.JPG,specimens_resized_panel/351_S.JPG
352,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,September,223a,Hewitt & Earle,Gelatin silver DOP,specimens_resized/352_S.JPG,specimens_resized_panel/352_S.JPG
353,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,October,253a,None,Collodion POP,specimens_resized/353_S.JPG,specimens_resized_panel/353_S.JPG
354,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,November,283a,None,Gelatin POP,specimens_resized/354_S.JPG,specimens_resized_panel/354_S.JPG
355,TR 1. C6,Canadian Photographic Journal,"George Gilson, ed.",1895,December,313a,Automatic Photograph Co.,Gelatin silver DOP,specimens_resized/355_S.JPG,specimens_resized_panel/355_S.JPG
356,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1896,April,163a,None,Gelatin silver DOP,specimens_resized/356_S.JPG,specimens_resized_panel/356_S.JPG
357,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1896,May ,230b,None,Gelatin silver DOP,specimens_resized/357_S.JPG,specimens_resized_panel/357_S.JPG
358,TR 1. C6,The St. Louis and Canadian Photographer,"George Gilson, ed.",1896,October,backmatter,Imperial Camera Company,Photogravure,specimens_resized/358_S.JPG,specimens_resized_panel/358_S.JPG
359,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1866,April,28a,Emil Kellner,Photolithograph,specimens_resized/359_S.JPG,specimens_resized_panel/359_S.JPG
360,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1866,July,104b,None,Albumen silver print,specimens_resized/360_S.JPG,specimens_resized_panel/360_S.JPG
361,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1866,October,188b,None,Albumen silver print,specimens_resized/361_S.JPG,specimens_resized_panel/361_S.JPG
362,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1867,July,132b,None,Albumen silver print,specimens_resized/362_S.JPG,specimens_resized_panel/362_S.JPG
363,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1868,January,268b,None,Collodion POP,specimens_resized/363_S.JPG,specimens_resized_panel/363_S.JPG
364,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1868,February,297a,Burchard Brothers,Collotype,specimens_resized/364_S.JPG,specimens_resized_panel/364_S.JPG
365,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1870,March,8b,None,Albumen silver print,specimens_resized/365_S.JPG,specimens_resized_panel/365_S.JPG
366,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1870,July,105a,None,Collotype,specimens_resized/366_S.JPG,specimens_resized_panel/366_S.JPG
367,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1870,September,157a,None,Photogravure,specimens_resized/367_S.JPG,specimens_resized_panel/367_S.JPG
368,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1870,November,212b,J.B. Obernetter,Collotype,specimens_resized/368_S.JPG,specimens_resized_panel/368_S.JPG
369,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1871,January,264b,None,Collotype,specimens_resized/369_S.JPG,specimens_resized_panel/369_S.JPG
370,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1871,March,316a,Walter Woodbury,Woodburytype,specimens_resized/370_S.JPG,specimens_resized_panel/370_S.JPG
371,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1871,July,112b,None,Albumen silver print,specimens_resized/371_S.JPG,specimens_resized_panel/371_S.JPG
372,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1871,August,156b,None,Stereotyped line block print,specimens_resized/372_S.JPG,specimens_resized_panel/372_S.JPG
373,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1871,November,220a,J.B. Obernetter,Carbon print,specimens_resized/373_S.JPG,specimens_resized_panel/373_S.JPG
374,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1872,February,300b,J.B. Obernetter,Carbon print,specimens_resized/374_S.JPG,specimens_resized_panel/374_S.JPG
375,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1874,May,57a,C.H. Jacobi,Collotype,specimens_resized/375_S.JPG,specimens_resized_panel/375_S.JPG
376,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1874,July,109a,Gemoser & Waltl,Collotype,specimens_resized/376_S.JPG,specimens_resized_panel/376_S.JPG
377,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1874,September,161a,Strumper & Co.,Collotype,specimens_resized/377_S.JPG,specimens_resized_panel/377_S.JPG
378,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1874,October,185a,None,Albumen silver print,specimens_resized/378_S.JPG,specimens_resized_panel/378_S.JPG
379,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1874,December,236a,J.B. Obernetter ,Collotype,specimens_resized/379_S.JPG,specimens_resized_panel/379_S.JPG
381,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1876,March,1a,Friedrich Bruckman,Woodburytype,specimens_resized/381_S.JPG,specimens_resized_panel/381_S.JPG
382,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1876,May,53a,Romler & Jonas,Collotype,specimens_resized/382_S.JPG,specimens_resized_panel/382_S.JPG
383,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1876,June,77a,Konigl. Staatsdruckerei,Cliches-verre,specimens_resized/383_S.JPG,specimens_resized_panel/383_S.JPG
384,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1876,September,129a,Aubel & Kaiser,Electrotyped line block print,specimens_resized/384_S.JPG,specimens_resized_panel/384_S.JPG
385,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1877,February,285a,Schober & Baeckmann,Collotype,specimens_resized/385_S.JPG,specimens_resized_panel/385_S.JPG
386,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1877,April,29a,Schindler & May,Photolithograph,specimens_resized/386_S.JPG,specimens_resized_panel/386_S.JPG
387,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1877,June,81a,J.B. Obernetter,Collotype,specimens_resized/387_S.JPG,specimens_resized_panel/387_S.JPG
388,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1877,August,133a,Jacobi & Prager,Collotype,specimens_resized/388_S.JPG,specimens_resized_panel/388_S.JPG
389,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1877,October,184b,Albert Reising,Cliches-verre,specimens_resized/389_S.JPG,specimens_resized_panel/389_S.JPG
390,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1877,October,185a,Albert Reising,Cliches-verre,specimens_resized/390_S.JPG,specimens_resized_panel/390_S.JPG
391,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1878,December,289a,Joseph Albert ,Collotype,specimens_resized/391_S.JPG,specimens_resized_panel/391_S.JPG
392,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1878,June,81a,J.B. Obernetter,Collotype,specimens_resized/392_S.JPG,specimens_resized_panel/392_S.JPG
393,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1878,August,133a,Wilhelm Hoffmann,Collotype,specimens_resized/393_S.JPG,specimens_resized_panel/393_S.JPG
394,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1878,October,185a,Paul Hoppe,Aniline print,specimens_resized/394_S.JPG,specimens_resized_panel/394_S.JPG
395,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1879,January,265a,J.B. Obernetter,Collotype,specimens_resized/395_S.JPG,specimens_resized_panel/395_S.JPG
396,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1879,March,1a,J.B. Obernetter,Collotype,specimens_resized/396_S.JPG,specimens_resized_panel/396_S.JPG
397,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1879,November,209a ,Carl and Nicholas Benzinger,Stereotyped line block print,specimens_resized/397_S.JPG,specimens_resized_panel/397_S.JPG
398,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1880,January,261a,J.B. Obernetter,Collotype,specimens_resized/398_S.JPG,specimens_resized_panel/398_S.JPG
399,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1880,March,1a,J.B. Obernetter,Collotype,specimens_resized/399_S.JPG,specimens_resized_panel/399_S.JPG
400,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1880,May,53a,W. Hoffmann,Collotype,specimens_resized/400_S.JPG,specimens_resized_panel/400_S.JPG
401,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1880,July,105a,Edmund Gaillard,Stereotyped line block print,specimens_resized/401_S.JPG,specimens_resized_panel/401_S.JPG
402,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1880,October,185a,Gottheil & Sohn,Carbon print,specimens_resized/402_S.JPG,specimens_resized_panel/402_S.JPG
403,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1881,January,265a,J.B. Obernetter,Collotype,specimens_resized/403_S.JPG,specimens_resized_panel/403_S.JPG
404,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1881,February,289a,W. Hoffmann,Collotype,specimens_resized/404_S.JPG,specimens_resized_panel/404_S.JPG
405,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1881,May,29a, K. Klic ,Photogravure,specimens_resized/405_S.JPG,specimens_resized_panel/405_S.JPG
406,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1881,August,133a,J.B. Obernetter,Collotype,specimens_resized/406_S.JPG,specimens_resized_panel/406_S.JPG
407,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1882,January,248b,Edmund Gaillard,Stereotyped line block print,specimens_resized/407_S.JPG,specimens_resized_panel/407_S.JPG
408,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1882,January,249a,Edmund Gaillard,Stereotyped line block print,specimens_resized/408_S.JPG,specimens_resized_panel/408_S.JPG
409,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1882,March,1a,Frederic Eugene Ives,Halftone,specimens_resized/409_S.JPG,specimens_resized_panel/409_S.JPG
410,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1882,June,77a,J. Norgring,Collotype,specimens_resized/410_S.JPG,specimens_resized_panel/410_S.JPG
411,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1882,August,117a,J. Schober,Collotype,specimens_resized/411_S.JPG,specimens_resized_panel/411_S.JPG
412,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1882,October,169a,J.B. Obernetter,Collotype,specimens_resized/412_S.JPG,specimens_resized_panel/412_S.JPG
413,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1882,November,209a,Meisenbach,Halftone,specimens_resized/413_S.JPG,specimens_resized_panel/413_S.JPG
414,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1883,February,273a,Frederic Eugene Ives,Halftone,specimens_resized/414_S.JPG,specimens_resized_panel/414_S.JPG
415,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1885,January,265a,Meisenbach,Halftone,specimens_resized/415_S.JPG,specimens_resized_panel/415_S.JPG
416,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1885,June,81a,J.B. Obernetter,Collotype,specimens_resized/416_S.JPG,specimens_resized_panel/416_S.JPG
417,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1885,October,189a,C. Angerer & Goslchl,Halftone,specimens_resized/417_S.JPG,specimens_resized_panel/417_S.JPG
418,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1886,February,293a,None,Halftone,specimens_resized/418_S.JPG,specimens_resized_panel/418_S.JPG
419,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1888,April,17a,J.B. Obernetter,Collotype,specimens_resized/419_S.JPG,specimens_resized_panel/419_S.JPG
420,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1888,June,97a,Stengel & Markert,Collotype,specimens_resized/420_S.JPG,specimens_resized_panel/420_S.JPG
421,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1888,September,153a,J.B. Obernetter,Collotype,specimens_resized/421_S.JPG,specimens_resized_panel/421_S.JPG
422,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1888,November,220b,E. A. Just,Gelatin silver DOP,specimens_resized/422_S.JPG,specimens_resized_panel/422_S.JPG
423,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1888,November,221a,H. Riffarth,Photogravure,specimens_resized/423_S.JPG,specimens_resized_panel/423_S.JPG
424,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1888,December,249a,Stengel & Markert,Collotype,specimens_resized/424_S.JPG,specimens_resized_panel/424_S.JPG
425,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1889,February,316b,Stengel & Markert,Collotype,specimens_resized/425_S.JPG,specimens_resized_panel/425_S.JPG
426,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1889,March,319a,Joseph Albert,Collotype,specimens_resized/426_S.JPG,specimens_resized_panel/426_S.JPG
427,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1889,March,17a,J.B. Obernetter,Collotype,specimens_resized/427_S.JPG,specimens_resized_panel/427_S.JPG
428,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1889,June,77a,J. Schober,Collotype,specimens_resized/428_S.JPG,specimens_resized_panel/428_S.JPG
429,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1889,August,119b,H. Riffarth,Photogravure,specimens_resized/429_S.JPG,specimens_resized_panel/429_S.JPG
430,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1889,August,134b,Reischsdruckerei,Line engraving,specimens_resized/430_S.JPG,specimens_resized_panel/430_S.JPG
431,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1889,October,196b,Stengel & Markert,Collotype,specimens_resized/431_S.JPG,specimens_resized_panel/431_S.JPG
432,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1889,December,294a,None,Gelatin silver DOP,specimens_resized/432_S.JPG,specimens_resized_panel/432_S.JPG
433,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1890,February,358a,E. Vogel,Photogravure,specimens_resized/433_S.JPG,specimens_resized_panel/433_S.JPG
434,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,April,18b,H. Riffarth,Photogravure,specimens_resized/434_S.JPG,specimens_resized_panel/434_S.JPG
435,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,May,54b,F. Thevoz & Cie.,Photogravure,specimens_resized/435_S.JPG,specimens_resized_panel/435_S.JPG
436,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,May,86b,Stengel & Markert,Collotype,specimens_resized/436_S.JPG,specimens_resized_panel/436_S.JPG
437,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,May,87a,Stengel & Markert,Collotype,specimens_resized/437_S.JPG,specimens_resized_panel/437_S.JPG
438,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,June,94b,Robert Pranger,Collotype,specimens_resized/438_S.JPG,specimens_resized_panel/438_S.JPG
439,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,July,110b,H. Riffarth,Photogravure,specimens_resized/439_S.JPG,specimens_resized_panel/439_S.JPG
440,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,August,142b,Robert Pranger,Collotype,specimens_resized/440_S.JPG,specimens_resized_panel/440_S.JPG
441,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,September,174b,Stengel & Markert,Collotype,specimens_resized/441_S.JPG,specimens_resized_panel/441_S.JPG
442,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,September,190b,Robert Pranger,Collotype,specimens_resized/442_S.JPG,specimens_resized_panel/442_S.JPG
443,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,October,206b,J.B. Obernetter,Collotype,specimens_resized/443_S.JPG,specimens_resized_panel/443_S.JPG
444,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,October,222b,Stengel & Markert,Collotype,specimens_resized/444_S.JPG,specimens_resized_panel/444_S.JPG
445,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,November,238b,A.E. Diener,Collotype,specimens_resized/445_S.JPG,specimens_resized_panel/445_S.JPG
446,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,December,270b,Stengel & Markert,Collotype,specimens_resized/446_S.JPG,specimens_resized_panel/446_S.JPG
447,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1891,December,286b,C. Angerer & Goslchl,Halftone,specimens_resized/447_S.JPG,specimens_resized_panel/447_S.JPG
448,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1892,January,302b,E. Vogel ,Photogravure,specimens_resized/448_S.JPG,specimens_resized_panel/448_S.JPG
449,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1892,January,318b,Robert Pranger,Collotype,specimens_resized/449_S.JPG,specimens_resized_panel/449_S.JPG
450,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1892,February,334b,Stengel & Markert,Collotype,specimens_resized/450_S.JPG,specimens_resized_panel/450_S.JPG
451,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1892,March,366b,Joseph Albert,Collotype,specimens_resized/451_S.JPG,specimens_resized_panel/451_S.JPG
452,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1892,March,382b,Arthur Dietz,Photogravure,specimens_resized/452_S.JPG,specimens_resized_panel/452_S.JPG
453,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,April,8b, E. Schreiber,Collotype,specimens_resized/453_S.JPG,specimens_resized_panel/453_S.JPG
454,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,April,24b,Georg Buxenstein & Co.,Collotype,specimens_resized/454_S.JPG,specimens_resized_panel/454_S.JPG
455,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,May,40b,Paul Schahl,Collotype,specimens_resized/455_S.JPG,specimens_resized_panel/455_S.JPG
456,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,May,56b,Georg Buxenstein & Co.,Collotype,specimens_resized/456_S.JPG,specimens_resized_panel/456_S.JPG
457,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,June,84b,None,Collotype,specimens_resized/457_S.JPG,specimens_resized_panel/457_S.JPG
458,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,June,88b,Paul Schahl,Collotype,specimens_resized/458_S.JPG,specimens_resized_panel/458_S.JPG
459,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,July,104b,Paul Schahl,Collotype,specimens_resized/459_S.JPG,specimens_resized_panel/459_S.JPG
460,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,July,120b,Paul Schahl,Collotype,specimens_resized/460_S.JPG,specimens_resized_panel/460_S.JPG
461,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,August,136b,E. Schreiber,Collotype,specimens_resized/461_S.JPG,specimens_resized_panel/461_S.JPG
462,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,August,152b,Paul Schahl,Collotype,specimens_resized/462_S.JPG,specimens_resized_panel/462_S.JPG
463,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,September,192b,"Meisenbach, Riffarth & Co. ",Photogravure,specimens_resized/463_S.JPG,specimens_resized_panel/463_S.JPG
464,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,October,216b,E. Schreiber,Collotype,specimens_resized/464_S.JPG,specimens_resized_panel/464_S.JPG
465,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,November,232b,Vereinigten Fabriken Photographie Papiere,Collodion POP,specimens_resized/465_S.JPG,specimens_resized_panel/465_S.JPG
466,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,December,276b,Georg Buxenstein & Co.,Photogravure,specimens_resized/466_S.JPG,specimens_resized_panel/466_S.JPG
467,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1893,December,288b,"Meisenbach, Riffarth & Co. ",Photogravure,specimens_resized/467_S.JPG,specimens_resized_panel/467_S.JPG
468,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,January,304b,Georg Buxenstein & Co.,Collotype,specimens_resized/468_S.JPG,specimens_resized_panel/468_S.JPG
469,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,January,324b,E. Schreiber,Collotype,specimens_resized/469_S.JPG,specimens_resized_panel/469_S.JPG
470,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,February,343b,E. Albert,Photogravure,specimens_resized/470_S.JPG,specimens_resized_panel/470_S.JPG
471,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,March,376b,Georg Buxenstein & Co.,Collotype,specimens_resized/471_S.JPG,specimens_resized_panel/471_S.JPG
472,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,March,392b,Joseph Albert,Photogravure,specimens_resized/472_S.JPG,specimens_resized_panel/472_S.JPG
473,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,April,16b,J.B. Obernetter,Collotype,specimens_resized/473_S.JPG,specimens_resized_panel/473_S.JPG
474,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,May ,44b,Paul Schahl,Collotype,specimens_resized/474_S.JPG,specimens_resized_panel/474_S.JPG
475,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,May,60b,J.B. Obernetter,Collotype,specimens_resized/475_S.JPG,specimens_resized_panel/475_S.JPG
476,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,July,108b,Joseph Albert,Photogravure,specimens_resized/476_S.JPG,specimens_resized_panel/476_S.JPG
477,TR 1. F72,Photographische Mitheilungen,H.W. Vogel,1894,July,124b,None,Collotype,specimens_resized/477_S.JPG,specimens_resized_panel/477_S.JPG
