KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath
108,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,October,289a,E. Klauber ,Collotype,specimens_resized/108_S.JPG,specimens_resized_panel/108_S.JPG
109,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,November,321a,Harroun & Bierstadt,Collotype,specimens_resized/109_S.JPG,specimens_resized_panel/109_S.JPG
110,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,March,65a,Harroun & Bierstadt,Collotype,specimens_resized/110_S.JPG,specimens_resized_panel/110_S.JPG
111,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,May,129a,Heliotype Printers Co. ,Collotype,specimens_resized/111_S.JPG,specimens_resized_panel/111_S.JPG
112,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,June,161a,Harroun & Bierstadt,Collotype,specimens_resized/112_S.JPG,specimens_resized_panel/112_S.JPG
113,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,July,195a,Harroun & Bierstadt,Collotype,specimens_resized/113_S.JPG,specimens_resized_panel/113_S.JPG
114,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,August,225a,Lithotype Printing Co. ,Photolithograph,specimens_resized/114_S.JPG,specimens_resized_panel/114_S.JPG
115,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,September,257a,Sarony,Albumen silver print,specimens_resized/115_S.JPG,specimens_resized_panel/115_S.JPG
116,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,November,321a,Harroun & Bierstadt,Collotype,specimens_resized/116_S.JPG,specimens_resized_panel/116_S.JPG
117,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,December,353a,W.J. Baker ,Collotype,specimens_resized/117_S.JPG,specimens_resized_panel/117_S.JPG
118,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,February,33a,Harroun & Bierstadt,Collotype,specimens_resized/118_S.JPG,specimens_resized_panel/118_S.JPG
119,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,March,65a,Harroun & Bierstadt,Collotype,specimens_resized/119_S.JPG,specimens_resized_panel/119_S.JPG
120,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,April,97a,Harroun & Bierstadt,Collotype,specimens_resized/120_S.JPG,specimens_resized_panel/120_S.JPG
121,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,July,193a,Harroun & Bierstadt,Collotype,specimens_resized/121_S.JPG,specimens_resized_panel/121_S.JPG
122,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,October,289a,E. Bierstadt,Collotype,specimens_resized/122_S.JPG,specimens_resized_panel/122_S.JPG
123,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,November,321a,None,Gelatin silver DOP,specimens_resized/123_S.JPG,specimens_resized_panel/123_S.JPG
124,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,December,353a,Harroun & Bierstadt,Collotype,specimens_resized/124_S.JPG,specimens_resized_panel/124_S.JPG
125,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,January,1a,None,Collotype,specimens_resized/125_S.JPG,specimens_resized_panel/125_S.JPG
126,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,April,97a,None,Collotype,specimens_resized/126_S.JPG,specimens_resized_panel/126_S.JPG
127,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,May ,129a,None,Collotype,specimens_resized/127_S.JPG,specimens_resized_panel/127_S.JPG
128,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,August,225a,None,Collotype,specimens_resized/128_S.JPG,specimens_resized_panel/128_S.JPG
129,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,October,321a,None,Collotype,specimens_resized/129_S.JPG,specimens_resized_panel/129_S.JPG
130,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,December,385a,F. Edsall ,Albumen silver print,specimens_resized/130_S.JPG,specimens_resized_panel/130_S.JPG
131,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1897,July,199a,Automatic Photograph Co. ,Gelatin silver DOP,specimens_resized/131_S.JPG,specimens_resized_panel/131_S.JPG
156,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,1a,"Meisenbach, Riffarth & Co.",Collotype,specimens_resized/156_S.JPG,specimens_resized_panel/156_S.JPG
157,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,34b,Erwin Raupp,Albumen silver print,specimens_resized/157_S.JPG,specimens_resized_panel/157_S.JPG
158,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,56b,Neue Photographie Gescellschaft,Gelatin silver DOP,specimens_resized/158_S.JPG,specimens_resized_panel/158_S.JPG
159,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,112b,K. Hazura,Photogalvanograph,specimens_resized/159_S.JPG,specimens_resized_panel/159_S.JPG
160,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,120b,E. Albert & Co.,Photogravure,specimens_resized/160_S.JPG,specimens_resized_panel/160_S.JPG
161,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,152b,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/161_S.JPG,specimens_resized_panel/161_S.JPG
162,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,1a,J. Blechinger,Photogravure,specimens_resized/162_S.JPG,specimens_resized_panel/162_S.JPG
163,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,68b,J. Blechinger,Photogravure,specimens_resized/163_S.JPG,specimens_resized_panel/163_S.JPG
164,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,100b,J. Blechinger,Photogravure,specimens_resized/164_S.JPG,specimens_resized_panel/164_S.JPG
165,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,136b,Neue Photographie Gescellschaft ,Gelatin silver DOP,specimens_resized/165_S.JPG,specimens_resized_panel/165_S.JPG
166,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,168b,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/166_S.JPG,specimens_resized_panel/166_S.JPG
167,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,184b,Blechinger & Leykauf ,Photogravure,specimens_resized/167_S.JPG,specimens_resized_panel/167_S.JPG
168,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,85b,Neue Photographie Gescellschaft,Gelatin silver DOP,specimens_resized/168_S.JPG,specimens_resized_panel/168_S.JPG
169,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,102b,Blechinger & Leykauf ,Photogravure,specimens_resized/169_S.JPG,specimens_resized_panel/169_S.JPG
170,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,128b,Joseph Scholz ,Photolithograph,specimens_resized/170_S.JPG,specimens_resized_panel/170_S.JPG
171,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,137b,Blechinger & Leykauf ,Photogravure,specimens_resized/171_S.JPG,specimens_resized_panel/171_S.JPG
172,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,138b,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/172_S.JPG,specimens_resized_panel/172_S.JPG
173,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,169b,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/173_S.JPG,specimens_resized_panel/173_S.JPG
174,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,170b,Blechinger & Leykauf ,Photogravure,specimens_resized/174_S.JPG,specimens_resized_panel/174_S.JPG
175,TR1. A8,Atelier des Photographen,Unnamed ,1898,None,1a,Blechinger & Leykauf ,Photogravure,specimens_resized/175_S.JPG,specimens_resized_panel/175_S.JPG
176,TR1. A8,Atelier des Photographen,Unnamed ,1898,None,41a,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/176_S.JPG,specimens_resized_panel/176_S.JPG
177,TR1. A8,Atelier des Photographen,Unnamed ,1898,None,74a,Blechinger & Leykauf ,Photogravure,specimens_resized/177_S.JPG,specimens_resized_panel/177_S.JPG
178,TR1. A8,Atelier des Photographen,Unnamed ,1898,None,145a,Blechinger & Leykauf ,Photogravure,specimens_resized/178_S.JPG,specimens_resized_panel/178_S.JPG
179,TR1. A8,Atelier des Photographen,Unnamed ,1898,None,152b,None,Gelatin silver DOP,specimens_resized/179_S.JPG,specimens_resized_panel/179_S.JPG
180,TR1. A8,Atelier des Photographen,Unnamed ,1898,None,183a,Verlanganstalt F. Bruckmann,Photogravure,specimens_resized/180_S.JPG,specimens_resized_panel/180_S.JPG
181,TR1. A8,Atelier des Photographen,Unnamed ,1899,None,1a,Blechinger & Leykauf ,Photogravure,specimens_resized/181_S.JPG,specimens_resized_panel/181_S.JPG
182,TR1. A8,Atelier des Photographen,Unnamed ,1899,None,53a,Blechinger & Leykauf ,Photogravure,specimens_resized/182_S.JPG,specimens_resized_panel/182_S.JPG
183,TR1. A8,Atelier des Photographen,Unnamed ,1899,None,89a,Blechinger & Leykauf ,Photogravure,specimens_resized/183_S.JPG,specimens_resized_panel/183_S.JPG
184,TR1. A8,Atelier des Photographen,Unnamed ,1899,None,109a,J.B. Obernetter,Photogravure,specimens_resized/184_S.JPG,specimens_resized_panel/184_S.JPG
185,TR1. A8,Atelier des Photographen,Unnamed ,1899,None,145a,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/185_S.JPG,specimens_resized_panel/185_S.JPG
186,TR1. A8,Atelier des Photographen,Unnamed ,1899,None,165a,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/186_S.JPG,specimens_resized_panel/186_S.JPG
187,TR1. A8,Atelier des Photographen,Unnamed ,1899,None,184b,Blechinger & Leykauf ,Photogravure,specimens_resized/187_S.JPG,specimens_resized_panel/187_S.JPG
197,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1883,None,1a,Goupil & Cie.,Photogravure,specimens_resized/197_S.JPG,specimens_resized_panel/197_S.JPG
198,TR 1. B83,British Journal Photographic Almanac,Unnamed ,1885,None,30b,Goupil & Cie.,Photogravure,specimens_resized/198_S.JPG,specimens_resized_panel/198_S.JPG
